Text,True_Label,Predicted_Label,Confidence
incredibly horrible quality and detail period seriously its nothing like the picture,1,1,0.99941075
minimal attractactant if any cats are very picky,0,1,0.98659724
"promptly delivers no qualms about anything else

great boot i wear it all the time now

it works for the office environment and i can use it as casual wear",1,1,0.9995746
what can i say another word about the book  i really enjoyed this book  i am a big fan of the harry bosch,0,0,0.99975425
serious offgassing ugh  not only do you have to clean the area around the,0,0,0.99960464
"a mind is a terrible thing the only way you can be a good person is to live

i had a friend who was a social worker and she had a very large family she had her own apartment which was very small i had to move in and have the people i knew and loved come to live in my apartment i had to live with them all i had to have them all i had to have them all it was very sad

i had to be a part of the family i had to have them all

there are so many stories of this family especially from the beginning of the book i wanted to be part of this family i wanted to live with them all it was sad i wanted to live with them all it was very sad i wanted to live with them all

i really enjoyed the book it was very well written it was very well written it was very well written it was very well written it was very well written it was very well written

i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book i really enjoyed this book",0,0,0.99978
easy to carry and hole saw the only problem is that it comes with a small screw driver,0,0,0.99976414
just received todayanother great one from ina my wife has many of these books each has goto recipes and this is no exception,1,1,0.9997198
"really fun kit to get you familiar with a variety of light modifiers

honestly more durable than expected which considering the price is saying a whole lot

i could nitpick about lil things but honestly what you get for what you pay is keeping me from complaining

i would highly recommend this to anyone looking at getting into off camera speed light lighting on a budget

pair this with

a yongnuo yn560tx
2 or 3 yongnuo 560 iiis
and a few lighting stands

and youll have yourself a decent portable and fun lighting setup that wont break the bank",1,1,0.99977237
great product love the wheels too and pba free important for our babies too,1,1,0.9995388
this is a pretty doll  my daughter loves the songs that she sings  she has the movie two,1,0,0.9997068
this took care of our cats intestinal problems in one week he was under weight and now is doing great at a proper weight,1,1,0.99973553
love it one of the best great movievery good movie,0,0,0.99925333
the folding plastic seems to be a nice quality material i will keep this bag in my collection,0,0,0.99976426
